title,pub_date,status,link,category,preview
Staying healthy on vacations and “party weekends”,"Sun, 06 Oct 2019 10:30:00 +0000",publish,/blog/2019/10/6/staying-healthy-on-vacations-and-party-weekends,Breathwork techniques and how-to,"“ You should sit in meditation for twenty minutes every day – unless you’re too busy; then you should sit for an hour. ” – Zen Proverb Hi everyone, I am a pretty structured person. I go to bed at 8 PM and wake up at 4 AM, even on the weekends. And I am consistent with my breathing routine: Principle"
Our somewhat surprising breathing patterns during sleep,"Mon, 25 Nov 2019 13:00:00 +0000",publish,/blog/2019/11/22/our-somewhat-surprising-breathing-patterns-during-sleep,Breathwork techniques and how-to,"We spend 1/3 of our life sleeping. And sleep is arguably one of the most important aspects of good health. Therefore, I expected that during sleep, breathing would be slow, deep, and rhythmic (i.e., “perfect”). However, a review published in 1984 in Clinical Science showed that breathing rate is act"
Only Breathing Principles Endure,"Mon, 16 Dec 2019 14:00:00 +0000",publish,/blog/2019/11/23/only-breathing-principles-endure,Breathwork techniques and how-to,"The first time I heard that quote, I thought of Wim Hof. Although Wim’s charisma is what sets his method apart from others, the principles he teaches are timeless. For example, in the classic book Science of Breath , the following advice is given to avoid catching a cold: When chilled, breathe vigor"
Yoga breathing significantly reduces PTSD in veterans,"Mon, 02 Dec 2019 13:00:00 +0000",publish,/blog/2019/11/23/yoga-breathing-program-significantly-reduces-ptsd-in-australian-vietnam-veterans,Breathwork techniques and how-to,"For those of you who celebrate, I hope you had a Happy Thanksgiving! I ate enough to almost start mouth breathing… Before we get into this week’s research, I don’t want you to get the impression that breathing will cure PTSD . This study examined using breathing as complementary therapy , one that c"
"Nitric Oxide, Hypoxia, and Batman","Sun, 01 Sep 2019 10:30:00 +0000",publish,/blog/2019/11/3/nitric-oxide-hypoxia-and-batman,Science 411 study breakdowns,"Hi all, Greetings from Lakeland, FL! We live near the east coast of FL, so we evacuated inland. My thoughts are with any of you affected by Dorian. Stay safe! We learned last week that nitric oxide (NO) is a critical in areas of tissue hypoxia ( see review here ). With that in mind, what happens whe"
The importance of tongue placement for breathing and stability,"Sun, 08 Sep 2019 10:30:00 +0000",publish,/blog/2019/11/3/the-importance-of-tongue-placement-for-breathing-and-stability,Breathwork techniques and how-to,"Hi everyone, This week, I want to share a key takeaway from the Oxygen Advantage (OA) teacher training I attended a couple weeks ago. Patrick McKeown (the founder of OA) is a wealth of knowledge. He’s been researching, applying, and teaching about breathing for nearly 20 years. It’s always an honor "
Nasal breathing synchronizes brain wave activity and improves cognitive function,"Mon, 11 Nov 2019 13:00:00 +0000",publish,/blog/2019/11/4/nasal-breathing-synchronizes-brain-wave-activity-and-improves-cognitive-function,Breathwork techniques and how-to,"Last week , we discussed century-old ideas about nasal breathing and mental function. I said that current science is beginning to catch up. Here’s how. Modern Science Supports 100 Year-Old Observations A study published in 2016 in The Journal of Neuroscience showed that nasal breathing is intimately"
Breathing Actually Reduces Oxygen (by 97%),"Mon, 18 Nov 2019 13:00:00 +0000",publish,/blog/2019/11/9/why-we-breathe,Breathwork techniques and how-to,"You’ve probably heard some variation of this by now: You can go weeks without eating, days without water, but only minutes with breathing. But, have you stopped to think about what that really means? I think we’d all agree that what we drink affects more than just hydration. (For example, weight los"
"Heart Rate Variability, Stress Response, and PTSD","Mon, 23 Dec 2019 11:30:00 +0000",publish,/blog/2019/12/17/qx9kylvlgkgxj2frmutq9an0dx0gxa,Nervous system science,"In post-traumatic stress disorder (PTSD), physiological arousal is increased when a person is reminded of their traumatic experience. This is somewhat unsurprising. An over activated sympathetic nervous system almost certainly plays a role in this. However, under activation of the parasympathetic ne"
Our Breathing is Shallow and Irregular for 1/3 of Our Lives,"Mon, 09 Dec 2019 14:00:00 +0000",publish,/blog/2019/12/3/your-breathing-is-shallow-and-irregular-for-almost-13-of-your-life,Breathwork techniques and how-to,"Two weeks ago, we discussed some surprising aspects of breathing during sleep. Quick recap: Breathing volume is significantly reduced (by 8-16%) O2 drops and CO2 increases significantly Breathing rate remains the same, or even increases I often work backwards, reading one paper, then getting super e"
Nasal Nitric Oxide: Our Body's Answer to Gravity?,"Mon, 06 Jan 2020 11:30:00 +0000",publish,/blog/2019/12/30/jz50b3hqpa40k9nvhxwqqqb0e2287a,Breathwork techniques and how-to,"Gravity is pretty awesome. After all, it keeps us here on Earth. And when our bodies are not subject to gravity (say, if you’re an astronaut), some crazy things happen. For example, Astronauts lose 25% of their aerobic capacity in 7-14 days (it usually takes 10 years to lose 10% here on Earth) Bone "
Breathing as an Integrated Approach to Health and Well-Being,"Mon, 30 Dec 2019 11:30:00 +0000",publish,/blog/2019/12/9/breathing-as-an-integrated-approach-to-health-and-well-being,Breathwork techniques and how-to,"I recently hit a plateau with breathing. I had been practicing my principles and reading everything I could find. I was doing everything “right.” However, my breath holds and CO2 tolerance had become stagnant. I felt good, but I had just stopped progressing. I thought, “this must be where I’m suppos"
The benefits of resistance breathing,"Sun, 15 Sep 2019 10:30:00 +0000",publish,/blog/2019/9/15/the-benefits-of-resistance-breathing,Breathwork techniques and how-to,"Hi all, When I first saw the breathing mask from the Oxygen Advantage, I swore I’d never use it. I thought wearing a mask for breathing was silly. What I love about breathing is its simplicity . However, because I got the Sports Mask as part of the training a couple weeks ago, I gave it a shot. And "
The protective effects of intermittent hypoxia,"Sun, 22 Sep 2019 10:30:00 +0000",publish,/blog/2019/9/22/the-protective-effects-of-intermittent-hypoxia,Other,"Hi everyone, Happy (almost) Fall! A few weeks ago, we learned that intermittent hypoxia increases nitric oxide (NO) production and storage. The paper I’m sharing this week examines NO’s protective effects during hypoxia . The protective role of nitric oxide during adaptation to hypoxia ( Read on web"
Increase brain blood flow by 20%,"Sun, 29 Sep 2019 10:30:00 +0000",publish,/blog/2019/9/29/increase-brain-blood-flow-by-20,Focus and performance,"Hi everyone, Over the last month, we’ve learned several important aspects of intermittent hypoxia (IH). For example, IH increases immune function and the production and storage of nitric oxide . Although we’ve only scratched the surface on IH, I want to wrap up the discussion (for now) with one of m"
Nasal Nitric Oxide is My New Favorite Gas,"Mon, 20 Jan 2020 11:30:00 +0000",publish,/blog/2020/1/20/nasal-nitric-oxide-new-favorite,Breathwork techniques and how-to,"The nose warms and humidifies incoming air. We’ve heard that a lot. However, when you dig into the scientific literature, you learn that nitric oxide (NO) might outweigh all other aspects of nasal breathing. It’s actually hard to overstate the benefits of nasal NO . Which brings us to this week’s pa"
What an Ancient Philosopher Can Teach Us About Breathing,"Mon, 27 Jan 2020 11:30:00 +0000",publish,/blog/2020/1/20/what-ancient-philosophers-can-teach-us-about-breathing,Breathwork techniques and how-to,"I am clearly a big fan of theory. I love to read and learn how things work (especially breathing). And since you are reading this, I am guessing you do too. Something I constantly struggle with is the balance between theory and practice. I get joy from reading, but everything I learn would be useles"
The 3 Mistakes to Avoid with Breathing,"Fri, 24 Jan 2020 09:50:15 +0000",draft,/blog/2020/1/24/the-3-mistakes-to-avoid-with-breathing,Breathwork techniques and how-to,"1. Following a “Method” Unless you have two noses or 3 mouths, there is not going to be a secret method to breathing. 2. Inconsistency Breathing is both a short and long-term game. You will immediately feel calmer, more relaxed, and more focused upon completing a slow breathing session. Your blood p"
One year of slow breathing increases HRV and reduces HbA1c,"Mon, 03 Feb 2020 11:30:00 +0000",publish,/blog/2020/1/29/6d8az2ktlj5sw6k4p5g7yvulezj30o,Breathwork techniques and how-to,"It’s rare to find a long-duration breathing study. Typically, they examine effects lasting only minutes to hours. Then, it’s up to us to extrapolate the long-term benefits. This paper was different. Effect Of Diaphragmatic Breathing On Heart Rate Variability In Ischemic Heart Disease With Diabetes ("
Breathing and Brushing Your Teeth,"Mon, 13 Jan 2020 11:30:00 +0000",publish,/blog/2020/1/6/breathing-and-brushing-your-teeth,Breathwork techniques and how-to,"I’m pretty obsessive about my breathing practice and I tend to over-analyze every session. “ Why did it feel harder today ? Was I breathing light enough ? I need to increase my CO2 more… ” It goes on and on. Recently, however, I heard something awesome in a “+1” from Brian Johnson . He quoted a grea"
Obstructive Sleep Apnea Lowers Nitric Oxide (plus a big backpack),"Mon, 17 Feb 2020 11:30:00 +0000",publish,/blog/2020/2/12/osa-reduces-nitric-oxide-nasal-breathing-restores-it,Sleep,"The 100 Mile Ruck webpage is almost ready. The folks at HHPF plan to have it up by Wednesday. I’ll send you a super quick email when I hear it’s ready. In the meantime, here is this week’s dose of breathing science. Circulating nitric oxide is suppressed in obstructive sleep apnea and is reversed by"
Exercise and Hypoxia Increase Insulin Sensitivity (&amp; 100 Mile Ruck Website),"Mon, 24 Feb 2020 11:30:00 +0000",publish,/blog/2020/2/13/exercise-hypoxia-increased-insulin-sensitivity,Diabetes and metabolic health,"There are many paradoxes in breathing. For example , breathing less air delivers more oxygen to your cells. Here is another one. Many diabetic complications (for example, insulin resistance) are rooted in tissue hypoxia . Yet, the deliberate practice of intermittent hypoxia (IH) can improve insulin "
I'm Rucking 100 Miles + Diaphragmatic Breathing Improves HbA1c,"Mon, 10 Feb 2020 11:30:00 +0000",publish,/blog/2020/2/2/diaphragmatic-breathing-improves-antioxidant-and-hba1c-status,Breathwork techniques and how-to,"Announcement: I’m Rucking 100 Miles for Chronic Disease On Leap Day, February 29th, I’m going to ruck 100 miles to raise money for the Health and Human Performance Foundation ( HHPF ). If you’ve been following me for a little while, you know I’m a huge fan of their mission. They are an amazing nonpr"
Relaxation Breathing Reduces Blood Sugar Spikes,"Mon, 02 Mar 2020 11:30:00 +0000",publish,/blog/2020/2/20/relaxation-breathing-improves-human-glycemic-response-wilson-et-al-2013,Breathwork techniques and how-to,"This week, I am sharing one of those amazing papers that I read and underline the whole thing. Despite having a small sample size, it hints at the incredible benefits of breathing for optimal blood sugars. Relaxation Breathing Improves Human Glycemic Response ( Click Here to Read the Full Summary ) "
How Nasal Breathing is Imprinted on the Brain - And What it Means for You,"Mon, 16 Mar 2020 10:30:00 +0000",publish,/blog/2020/3/10/how-nasal-breathing-is-imprinted-on-the-brain-and-what-it-means-for-you,Breathwork techniques and how-to,"It feels somewhat odd to send to write a post breathing right now. There are certainly bigger problems to worry about. But, I hope this can, at the very least, serve as a distraction. Stay healthy and stay safe! It makes sense that our brains have regions that “light up” when we smell something. But"
Breathing and COVID-19 (Plus 4.5 Ways to Increase Nitric Oxide),"Mon, 23 Mar 2020 10:30:00 +0000",publish,/blog/2020/3/16/vasorelaxation-by-red-blood-cells-and-impairment-in-diabetes,Breathwork techniques and how-to,"I’ve stated previously that nitric oxide (NO) is my favorite gas. Recently, the breathing community has jumped on it for its antiviral effects. The thought is that nasal NO could serve as our first line of defense against COVID-19. While I see how that argument makes sense, I don’t think anyone real"
Two Simple Ways to Improve Your Sleep Tonight,"Mon, 30 Mar 2020 10:30:00 +0000",publish,/blog/2020/3/26/how-charles-dickens-changed-our-sleep,Sleep,"Charles Dickens just walked into a hotel room. The year is 1860. As arguably the most famous author alive, you might think he set up his writing station and poured a glass of Brandy. Instead, he pulled out his compass and rearranged the place [1]. Dickens’ Odd Fix for Insomnia Dickens believed that "
,"Sat, 28 Mar 2020 09:17:48 +0000",draft,/blog/2020/3/28/mtf37qyu2g47of2ka8ir6z85jzvp3v,General wellness,"In 1968, Waste Management, Inc was founded by Wayne Huizenga and two other investors. They rapidly grew by acquiring smaller companies, purchasing 133 businesses before going public in 1972, only 4 years since conception. Today, WM has over 21 million customers and 43,000 employees. As someone who p"
Can Breathing Improve Insulin Sensitivity? (+ 35 hours &amp; 291 miles),"Mon, 09 Mar 2020 10:30:00 +0000",publish,/blog/2020/3/4/insulin-sensitivity,Breathwork techniques and how-to,"On Valentine’s Day, the CDC published a report documenting trends in diabetes incidence from 2002-2015. The take-home message: Rates of diabetes, both type-1 and type-2, are increasing in people less than 20 years old, especially in racial and ethnic minority populations. Results like this make no-c"
"Unlock Your Breathing ""Combination Lock""","Mon, 06 Apr 2020 10:30:00 +0000",publish,/blog/2020/4/1/unlock-the-potential-of-your-nose,Breathwork techniques and how-to,"For each scientific paper I read, I ask myself, “ What practical takeaways can my readers and I apply in our lives today based on these results? ” I usually get similar answers: (1) Breathe slowly, (2) breathe through your nose, or (3) hold your breath. (This is how I discovered the three breathing "
The One Percent Rule of Breathing (&amp; Bravest Podcast Interview),"Mon, 20 Apr 2020 10:30:00 +0000",publish,/blog/2020/4/14/the-one-percent-rule-of-breathing,Breathwork techniques and how-to,"Craig Kasper invited me on his podcast, Bravest, to discuss all things breathing and diabetes. It should be released later today. Craig is a type-1 diabetic and a genuinely good person. We had a lot of fun, and I hope you’ll give it a listen. Listen Here: Bravest The Pareto Principle, or 80/20 rule,"
The Best Way to Begin Slow Breathing,"Mon, 27 Apr 2020 10:30:00 +0000",publish,/blog/2020/4/23/the-best-way-to-begin-slow-breathing,Breathwork techniques and how-to,"“The secret of making progress is to get started. The secret to starting is to divide your complex, overwhelming task into small, manageable tasks, and then start the first.” - Mark Twain Slow breathing has many benefits. For example, it improves cardiovascular and autonomic functioning. However, as"
Lack of Oxygen Might be the Root Cause of Diabetic Complications,"Mon, 04 May 2020 10:30:00 +0000",publish,/blog/2020/4/29/integrated-cardio-respiratory-control-in-type-1-diabetes,Diabetes and metabolic health,"Since we cannot know all that there is to be known about anything, we ought to know a little about everything. ” - Blaise Pascal People with diabetes are at an increased risk of cardiovascular and autonomic problems. Diabetics also display altered respiratory control, for example, showing depressed "
Are Long-Term Diabetic Complications Reversible?,"Mon, 13 Apr 2020 10:30:00 +0000",publish,/blog/2020/4/8/are-some-diabetic-complications-reversible,Diabetes and metabolic health,"As a person with type-1 diabetes, long-term complications are like the boogeyman. I hide under the covers, turn off the lights, and they can’t get me. I am healthy, after all. Right? But the truth is, diabetic complications are more common than I would like to admit. There are, however, two pieces o"
Finding Understanding in Explanation,"Mon, 18 May 2020 10:30:00 +0000",publish,/blog/2020/5/13/can-breathing-principles-change,Breathwork techniques and how-to,"“Simplify!” - Ray Dalio In “ A Mind for Numbers ,” Barbara Oakley tells us: “You may think you really have to understand something in order to explain it. But observe what happens when you are talking to other people about what you are studying. You’ll be surprised to see how often understanding ari"
Breathing Restores Autonomic Control in Type-2 Diabetics with Complications,"Mon, 25 May 2020 10:30:00 +0000",publish,/blog/2020/5/15/idea-1-slow-breathing-type-2,Breathwork techniques and how-to,"“ Quit worrying about your health. It’ll go away. ” - Robert Orben As people with diabetes (type 1 or 2), we know our bodies are under extra stress. This is due to things like fluctuating blood sugars and chronic inflammation. These factors can gradually accumulate into nerve damage and a variety of"
Idea 2 - Nitric Oxide,"Fri, 15 May 2020 10:31:30 +0000",draft,/blog/2020/5/15/idea-2-nitric-oxide,Breathwork techniques and how-to,Nasal NO vs. Systemic NO https://www.thebreathingdiabetic.com/manukhina-et-al-1999 https://www.thebreathingdiabetic.com/manukhina-et-al-2000
Breathing is the Compound Interest of Health,"Mon, 01 Jun 2020 10:30:00 +0000",publish,/blog/2020/5/21/breathing-is-the-compound-interest-of-health,Breathwork techniques and how-to,""" He who labors diligently need never despair; for all things are accomplished by diligence and labor. "" - Menander (342 BC - 292 BC) Correct breathing synchronizes many systems in the body. This coherence compounds over time. Breathing improves your sleep [1,2]. Better sleep improves your cardiovas"
Slow Breathing &amp; High Blood Pressure: What it Means for Diabetes and COVID-19,"Mon, 11 May 2020 10:30:00 +0000",publish,/blog/2020/5/7/high-blood-pressure-diabetes-and-covid-19,Breathwork techniques and how-to,"“ Trees and plants depend on the weather to flourish but I make my own weather, yea I transport it with me. ” - Og Mandino Recent reports have shown that high blood pressure is associated with negative outcomes from COVID-19. As people with diabetes, we already knew we were at higher risk when it co"
Two Regulatory Effects of Breathing (+ James Nestor Breathing Q&amp;A),"Mon, 08 Jun 2020 10:30:00 +0000",publish,/blog/2020/6/1/breathing-modulates-the-cardiovascular-system-and-reduces-chemosensitivity,Breathwork techniques and how-to,"“ Waste no more time arguing what a good man should be. Be one. ” - Marcus Aurelius You probably hate Zoom meetings by now. In fact, if you work in an office setting, you’re probably just tired of meetings in general. But every now and then, you have a truly important meeting. You prepare, rehearse,"
Could nasal nitric oxide help to mitigate the severity of COVID-19?,"Mon, 15 Jun 2020 10:30:00 +0000",publish,/blog/2020/6/11/could-nasal-nitric-oxide-help-to-mitigate-the-severity-of-covid-19,Breathwork techniques and how-to,"“ We have too many high sounding words, and too few actions that correspond with them. ” - Abigail Adams When the pandemic began, many people in the “breathing community” immediately started talking about nasal nitric oxide because of its antiviral and antimicrobial effects. Nose breathing seemed li"
Breathe The Change You Want to See (In Your Body),"Mon, 29 Jun 2020 10:30:00 +0000",publish,/blog/2020/6/21/breathe-the-change-you-want-to-see-in-your-body,Breathwork techniques and how-to,""" To say…that a man is made up of certain chemical elements is a satisfactory description only for those who intend to use him as a fertilizer. "" - Herbert J. Muller When I first started a “breathing” practice, it seemed a bit silly. But then I started seeing dramatic improvements in my sleep, energ"
The Breathing 4.1.1.,"Mon, 06 Jul 2020 10:30:00 +0000",publish,/blog/2020/6/27/d3cspv3t9k8oy2t28e12yn5flsyjn0,Breathwork techniques and how-to,"I am trying a new format this week. I’m calling it “The Breathing 4.1.1.” Below, I share 4 thoughts, 1 quote, and 1 answer (think “Jeopardy”). Enjoy! 4 THOUGHTS 1. Expert Q&A on Sleep Tape James Nestor’s first ""expert Q&A"" episode has been released. It’s on sleep tape with Dr. Mark Burhenne. I espec"
The Breathing 4.1.1. - Harder Breathing Techniques and Molecules of Air,"Mon, 13 Jul 2020 10:30:00 +0000",publish,/blog/2020/6/27/d3cspv3t9k8oy2t28e12yn5flsyjn0-k9j6l,Breathwork techniques and how-to,"Welcome to the second edition of ""The Breathing 4.1.1."" Below, I share 4 thoughts, 1 quote, and 1 answer (think ""Jeopardy""). Enjoy! 4 THOUGHTS 1. We Don’t Need Harder Breathing Techniques I recently finished the two-part interview with David Bidler on the Bravest Podcast . I highly recommend listeni"
The Breathing 4.1.1. - Are Type 1 Diabetics Protected from COVID-19?,"Mon, 20 Jul 2020 10:30:00 +0000",publish,/blog/2020/6/27/d3cspv3t9k8oy2t28e12yn5flsyjn0-k9j6l-7bz2h,Breathwork techniques and how-to,"Welcome to the ""The Breathing 4.1.1."" Below, I share 4 thoughts, 1 quote, and 1 answer (think ""Jeopardy""). Enjoy! 4 THOUGHTS 1. Are Type-1 Diabetics Protected from Serious COVID-19 Complications? Not exactly breathing related, but a short article recently published in Medical Hypotheses proposed the"
The Breathing 4.1.1. - Breathing That Makes You Smarter,"Mon, 27 Jul 2020 10:30:00 +0000",publish,/blog/2020/6/27/smarter-breathing,Breathwork techniques and how-to,"Happy Monday and welcome to another edition of ""The Breathing 4.1.1."" Below, I share 4 thoughts, 1 quote, and 1 answer (think ""Jeopardy""). Enjoy! 4 THOUGHTS 1. Why Increasing Your CO2 Tolerance Just Makes Sense i. Carbon dioxide is your primary stimulus to breathe. When you feel breathless or air hu"
Can Overbreathing Cause Osteoporosis?,"Mon, 22 Jun 2020 10:30:00 +0000",publish,/blog/2020/6/9/can-you-over-breathe-yourself-into-osteoporosis,Breathwork techniques and how-to,"“ Life-transforming ideas have always come to me through books. ” - Bell Hooks This week, I want to look at a few fascinating passages on overbreathing from “Breath: The New Science of A Lost Art.” Let’s start with James Nestor’s insight into tissue hypoxia (my bold for emphasis): “ In this, chronic"
The Breathing 4.1.1. - Slow or Control? (+ Seneca on Walking &amp; Breathing),"Mon, 10 Aug 2020 10:30:00 +0000",publish,/blog/2020/8/10/slow-or-controlled,Breathwork techniques and how-to,"Happy Monday to you! Welcome to a new edition of The Breathing 4.1.1. Below you’ll find 4 thoughts, 1 quote, and 1 answer (think ""Jeopardy""). Enjoy! 4 THOUGHTS 1. Breath Rate or Breath Control: Which is More Important? Last week, we talked about a powerful evolutionary advantage : Rather than evolvi"
The Breathing 4.1.1. - The Best Breathing Class You Haven’t Heard Of,"Mon, 17 Aug 2020 10:30:00 +0000",publish,/blog/2020/8/10/slow-or-controlled-7rx33,Breathwork techniques and how-to,"Hello, and Happy Monday! Welcome to another edition of The Breathing 4.1.1. Thank you for reading this. Putting together the 411 emails each week is one of my favorite things to do, so I appreciate that you’re here reading it. Now, on to the email. Below you’ll find 4 thoughts, 1 quote, and 1 answer"
The Breathing 4.1.1. - Can This Acid Help You Digest Oxygen Better?,"Mon, 03 Aug 2020 10:30:00 +0000",publish,/blog/2020/8/3/breathing-acids,Breathwork techniques and how-to,"I hope this edition of ""The Breathing 4.1.1"" helps start your week off right. Below you’ll find 4 thoughts, 1 quote, and 1 answer (think ""Jeopardy""). Enjoy! 4 THOUGHTS 1. My #1 Non-Breathing Tip to Improve Your Breathing There are non-breathing ways to improve your breathing. Here’s the easiest and "
21 One-Sentence Breathing Ideas,"Fri, 01 Jan 2021 10:53:09 +0000",publish,/blog/21-one-sentence-ideas,Breathwork techniques and how-to,"Breathing ideas are often long-winded, but they don't have to be. Here, are 21 one-sentence breathing ideas to kick off 2021. 1. Breathing is the compound interest of health and wellness. 2. Correct breathing is a keystone habit that forms the foundation of good health. 3. Breathing is not a panacea"
22 One-Sentence Breathing Ideas for 2022,"Sat, 01 Jan 2022 08:00:00 +0000",publish,/blog/22-sentence-ideas,Breathwork techniques and how-to,Let’s continue the tradition this year. Here are 22 one-sentence breathing ideas to kick off 2022. Enjoy! *** Related: 21 One-Sentence Breathing Ideas for 2021 1. Demonstrations of breathing are small compared with the great thing that is hidden behind them. (Inspired by a Khalil Gibran Quote) 2. Br
23 One-Sentence Breathing Ideas for 2023,"Sun, 01 Jan 2023 05:01:00 +0000",publish,/blog/23-one-sentence-2023,Breathwork techniques and how-to,"1. You don’t have to meditate; breathing meditates you. P.S. This was inspired by this excellent quote in Blue Mind: “ This is the huge advantage of water: you don’t need to meditate to take advantage of its healing effects because it meditates you. ” 2. Physically, wherever you find your breath, yo"
"24 Ideas, Favorite Books of 2023, and the Secret to Healing","Mon, 01 Jan 2024 11:28:00 +0000",publish,/blog/24-ideas-best-books-of-2023-the-secret-to-healing,Breathwork techniques and how-to,"Listen Instead of Reading If you enjoy listening, you can subscribe to the audio version on Spotify , Apple Podcasts , and Audible so you don’t even have to look at the email 😊 Enjoy My Work? Donate to keep me breathing. Reading Time: 1 min 27 sec I hope the next 22’ish breaths are the most nourishi"
24 One-Sentence Breathing Ideas for 2024,"Mon, 01 Jan 2024 05:00:00 +0000",publish,/blog/24-one-sentence-breathing-ideas-for-2024,Breathwork techniques and how-to,"We’ve made it four years straight with this one-sentence idea. Here’s to many more 🙏 1. Breathing saves your life 20,000 times a day; mindfulness helps you appreciate this truth. 2. Breathing is 90% mental; the other half is physical. 3. The best healing breathing exercise is laughter. 4. The greate"
"3 Great Science Quotes, Slowing Down, and Finding Beauty in Imperfection","Mon, 07 Jul 2025 10:28:00 +0000",publish,/blog/3-great-science-quotes-slowing-down-and-finding-beauty-in-imperfection,Anxiety and stress,"Reading Time: 1 min 45 sec I hope the next 21’ish breaths are the most nourishing of your day. 4 THOUGHTS 1. Slowing Down Makes You Faster “Emotional control rules your ability to get results under pressure. The foundation of emotional control is a calmer, clearer mind…If you can slow down, you can "
"3 Healing Breaths, a Celebration, and a Thought Experiment","Mon, 19 Dec 2022 11:29:00 +0000",publish,/blog/3-healing-breaths-thought-experiment,Breathwork techniques and how-to,"Listen Instead of Reading If you enjoy listening, you can subscribe to the audio version on Spotify , Apple Podcasts , and Audible so you don’t even have to look at the email 😊 Get this in your inbox every Monday at 6:30 a.m. Eastern. Email Address Sign Up We respect your privacy. Thank you! A Celeb"
